Kanton	15-24-jaehrig	25-34-jaehrig	35-44-jaehrig	45-54-jaehrig	55-64-jaehrig	65-74-jaehrig	75+ -jaehrig	total
CH								7785806
ZH								1351297
BE								974235
LU								372964
UR								35335
SZ								144686
OW								35032
NW								40794
GL								38479
ZG								110890
FR								273159
SO								252748
BS								187898
BL								272815
SH								75657
AR								53043
AI								15681
SG								474676
GR								191861
AG								600040
TG								244805
TI								335720
VD								701526
VS								307392
NE								171647
GE								453292
JU								70134
