KT	Inst	Adr	Ort	Typ	RWStatus	Akt	SL	WB	AnzStand	SA	PtageStatT	AustStatT	NeugStatT	Ops	Gebs	CMIb	CMIn	pPatWAU	pPatWAK	pPatLKP	pPatHOK	PersA	PersP	PersMT	PersT	PersAFall	PersPFall	PersMTFall	PersTFall	AnzBelA	AnzBelP	AwBesold	AwInvest	AwSonst	AwT	EtMedL	EtSonst	EtSubv	FiErg	PtageStatA	AustStatA	BettenStatA	DADStatA	pBettenBelStatA	KostAmbA	KostOKPAmbA	KostStatA	KostKVGStatA	AnlKVGStatA	KostZvOKPStatA	AnlZvOKPStatA	KostLangA	AuftragLFA	ErlAmbA	ErlOKPAmbA	ErlStatA	ErlKVGStatA	ErlKVGStatVA	ErlZvOKPStatA	ErlZvOKPStatVA	ErlLangA	PtageStatP	AustStatP	BettenStatP	DADStatP	pBettenBelStatP	KostAmbP	KostOKPAmbP	KostStatP	KostKVGStatP	AnlKVGStatP	KostZvOKPStatP	AnlZvOKPStatP	KostLangP	AuftragLFP	ErlAmbP	ErlOKPAmbP	ErlStatP	ErlKVGStatP	ErlKVGStatVP	ErlZvOKPStatP	ErlZvOKPStatVP	ErlLangP	PtageStatR	AustStatR	BettenStatR	DADStatR	pBettenBelStatR	KostAmbR	KostOKPAmbR	KostStatR	KostKVGStatR	AnlKVGStatR	KostZvOKPStatR	AnlZvOKPStatR	KostLangR	AuftragLFR	ErlAmbR	ErlOKPAmbR	ErlStatR	ErlKVGStatR	ErlKVGStatVR	ErlZvOKPStatR	ErlZvOKPStatVR	ErlLangR	PtageStatB	AustStatB	BettenStatB	DADStatB	pBettenBelStatB	KostAmbB	KostOKPAmbB	KostStatB	KostKVGStatB	AnlKVGStatB	KostZvOKPStatB	AnlZvOKPStatB	KostLangB	AuftragLFB	ErlAmbB	ErlOKPAmbB	ErlStatB	ErlKVGStatB	ErlKVGStatVB	ErlZvOKPStatB	ErlZvOKPStatVB	ErlLangB
AG	Kantonsspital Aarau AG	Tellstrasse 15	5000 Aarau	K112	oeff	A	NF, IPS	MSt, Arzt, BGs	1	MRI, CT, PET, CC, LB, Lito	160220	24368	1161	14	NA	0.995	1.062	0.6342	10.367	15.7573	92.4094	479.51	1253.36	NA	2675.7	1.96778562	5.143466842	NA	10.98038411	1	NA	280678000	50813000	129570000	461061000	288624000	21498000	150939000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Kantonsspital Baden AG	Im Ergel	5404 Baden	K112	oeff	A	NF, IPS	MSt, Arzt, BGs	1	MRI, CT, CC, Lito	104026	15986	1177	9	NA	0.895	0.949	0.5757	3.5727	19.7064	93.1491	218.46	515.54	NA	1355.15	1.366570749	3.224946828	NA	8.477104967	38	NA	136922000	25604000	72269000	234795000	149636000	7718000	77562000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Hirslanden Klinik Aarau	Schänisweg 1	5000 Aarau	K122	priv	A	IPS	MSt, Arzt, BGs	1	MRI, CT, LB, Lito	35864	7937	629	7	NA	0.976	0.974	0.8692	19.5815	58.1527	94.9009	10	159.76	NA	425.4	0.125992188	2.012851203	NA	5.359707698	120	NA	45854000	23739000	38701000	108294000	105325000	6651000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Gesundheitszentrum Fricktal	Riburgerstrasse 12	4310 Rheinfelden	K122	oeff	A	NF	MSt, Arzt, BGs	2	MRI, CT	35566	6550	372	6	NA	0.775	0.785	3.2836	5.6042	19.8451	90.8804	58.4	189.25	NA	480.33	0.891603053	2.889312977	NA	7.333282443	32	NA	47563000	3705000	13890000	65158000	38481000	2616000	24077000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Kreisspital für das Freiamt	Spitalstrasse 144	5630 Muri AG	K122	oeff	A	NF	MSt, Arzt, BGs	1	CT	29305	5967	523	4	NA	0.782	0.78	0.2311	4.973	15.3929	89.1371	53.9	139.26	NA	374.73	0.903301492	2.333836099	NA	6.280040221	6	NA	41491000	2060000	16855000	60406000	37793000	1138000	21950000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Spital Zofingen AG	Mühlethalstrasse 27	4800 Zofingen	K122	oeff	A	NF, IPS	MSt, Arzt, BGs	1	MRI, CT	24189	4827	253	4	NA	0.804	0.807	0.4283	13.16	13.4346	88.1036	54.95	145	NA	415.5	1.138388233	3.003936192	NA	8.607830951	27	NA	33935000	1478000	14935000	50348000	30822000	2178000	17353000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Asana Gruppe AG Spital Menziken	Spitalstrasse 1	5737 Menziken	K123	oeff	A	NF	MSt, BGs	1		16703	3452	193	3	NA	0.755	0.76	0.1903	6.6176	12.4762	88.7198	20.03	65.94	NA	205.46	0.580243337	1.910196987	NA	5.951911935	11	NA	17399000	1980000	10283000	29662000	17796000	184000	12260000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Asana Gruppe AG Spital Leuggern	Kommendeweg	5316 Leuggern	K123	oeff	A	NF	MSt, Arzt, BGs	1		12911	3003	402	2	NA	0.713	0.705	4.7203	2.2324	14.3065	89.831	12.33	49.45	NA	139.68	0.410589411	1.646686647	NA	4.651348651	39	NA	15196000	1972000	6059000	23227000	16124000	543000	10146000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Psychiatrische Dienste Aargau AG ­ Psychiatrischer Dienst Königsfelden (PKF)		5200 Brugg AG	K211	oeff	P	NF	Arzt, BGs	1		133761	2342	0	0	NA	NA	NA	0.2216	2.9989	4.8762	99.2612	46.2	271.25	NA	554.45	1.972672929	11.58198121	NA	23.67421008	0	NA	56307000	13510000	24720000	94537000	37313000	11745000	43849000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AG	Schützen Rheinfelden AG Klinik & Ambulatorium	Bahnhofstrasse 19	4310 Rheinfelden	K212	priv	P		Arzt, BGs	1		28593	651	0	0	NA	NA	NA	1.9471	55.461	43.5327	100	40.21	42.48	NA	109.21	6.176651306	6.525345622	NA	16.77572965	0	NA	10409000	3572000	9178000	23159000	24923000	49000	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
